time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.655634325841436e-08,-2.879398469676706e-08,10.005123282789341,6.282824075724239,6.283089910839784,0.0,7.352035979232912e-06,-1.667802014193603e-05,0.17076520301824646,-0.022150814984514662,-0.004976457261979038,0.0,459.2809366297221,458.88617782908113,459.4033498152745,457.64400993682494
0.12000000000000001,4.079271659816076e-06,-1.5572990947913932e-05,10.021485790967189,6.281260068257211,6.282400177665199,0.0,0.00017848671432882162,-0.000669539386963356,0.3746063127163733,-0.03534913334091593,-0.02957634694930507,0.0,470.2378089437026,468.32872467706886,468.71296796539536,467.6861657796074
0.18,4.390592044473793e-05,-0.00011649849177404809,10.052601755130457,6.279305995374324,6.2807689953440615,0.0,0.0013695158147316072,-0.0029582212213761045,0.6624693200062626,-0.02751750380907056,-0.02279077188193971,0.0,494.5641512577593,495.0635053656755,491.10380656159526,491.6839653177369
0.23999999999999996,0.00017878226094802667,-0.0003767129723535737,10.09445003573281,6.277301677904834,6.279451810947936,0.0,0.003257154166934356,-0.005889954045957913,0.7324295514731709,-0.04903667451717179,-0.020328378669699304,0.0,426.971031945634,427.1809900417175,429.3009321486822,427.47076201297165
0.3,0.0004601323558694317,-0.0008683902849224057,10.142437063805652,6.275176555999018,6.277851577378897,0.0,0.006266844455377697,-0.010760859133605251,0.8670427808127092,-0.016831302716680673,-0.044036284657327035,0.0,449.49403018540903,447.5686430079619,446.80211658401754,449.4189375191354
0.36000000000000004,0.0009538036400806877,-0.0016795300598307045,10.19700541900513,6.274281697069776,6.2751953863509495,0.0,0.01045273765418678,-0.016371326188462838,0.9518327335987261,-0.011332475747566398,-0.044740977671298365,0.0,433.7312882906339,433.6709406867559,431.73951214078005,432.203245480825
0.4200000000000001,0.0017501406017823992,-0.0028414911847433363,10.256383180361675,6.27385007664194,6.272426309243816,0.0,0.01635938029165505,-0.02241374241188894,1.0273578101699428,1.1686452290560808e-05,-0.04913160470828665,0.0,429.9975442384666,429.6241386354503,429.73387189931475,430.69438021005544
0.48000000000000015,0.00299008952896152,-0.004400105432244844,10.323277392633852,6.273412771117112,6.26995167978367,0.0,0.02527311115161794,-0.02955534879853037,1.202277683389332,-0.028812381366904127,-0.02888733537692091,0.0,461.24233510460226,462.83724671456594,461.3996066441216,459.1186871105594
0.5400000000000001,0.004794187719755653,-0.00638826896361289,10.399034248957978,6.271572034595998,6.268779516584614,0.0,0.03500945713935,-0.03690260117279213,1.3228146368726164,-0.034700240710572317,-0.005423079053826144,0.0,442.96024529428394,444.88539616320276,446.01218232849794,445.5307809483074
0.6000000000000002,0.00719922477446805,-0.008855458746213666,10.481823393107186,6.2692365591414685,6.268860224241498,0.0,0.045166424259483404,-0.04556346968827375,1.4366837599664233,-0.049098339627571416,0.012272785801537962,0.0,442.2351338790426,443.69019248599886,443.7479991887896,442.56380366136904
0.6600000000000003,0.010221370684800005,-0.011908027295525368,10.572359263521339,6.2663518614103495,6.269458059804686,0.0,0.05549606967720987,-0.05650251008270211,1.5809858773769514,-0.04611313680241427,0.004892238670648681,0.0,453.2699708828769,452.6763825841364,452.52968669883273,452.7685303071437
0.7200000000000003,0.013836659143187503,-0.015660171688332204,10.670448781240738,6.263940783062665,6.269852706302515,0.0,0.06497563630942604,-0.06883120712131403,1.688507090496816,-0.030390508590786573,0.009751211243552042,0.0,441.9964709405811,442.3966018586007,440.7461877149364,442.0427078976361
0.7800000000000004,0.017957014491456005,-0.02011950521236611,10.770918117290986,6.261794745255386,6.270977407273811,0.0,0.07229532524148345,-0.07997648805620493,1.6605092816258074,-0.04958942177214455,0.03244126515578663,0.0,396.37384209916337,398.4534778823456,397.8911803090366,396.1289060433966
0.8400000000000004,0.022539359529957382,-0.025371487684057736,10.873551154393368,6.258914458497099,6.27303911582475,0.0,0.08024281716595626,-0.09538492358086564,1.7604381664778397,-0.04501119082728248,0.037949292291619405,0.0,439.3625912167317,439.8194838287519,439.5438465499959,439.9216333700518
0.9000000000000005,0.02759040337521278,-0.031697630945299836,10.985851267346323,6.255926935963595,6.275378794346002,0.0,0.08784426064644235,-0.11581654188241305,1.982533803443994,-0.06165955877188219,0.041006922752526244,0.0,476.5218495880933,476.7561512763418,478.15196748713396,476.8806149902998
0.9600000000000005,0.03301962632612485,-0.039252592996064796,11.10881629344112,6.252031156360205,6.277282688476916,0.0,0.09287720463224845,-0.13641422585535548,2.116051677415116,-0.07243370770722007,-0.002826153399224672,0.0,453.3068730564209,449.7712406817708,451.4728553802677,450.5996755102071
1.0200000000000005,0.03872088863904067,-0.04813210537094172,11.239840735103385,6.247449802656913,6.276694674749399,0.0,0.09719734738942784,-0.1600383531735742,2.2511554049448383,-0.08565082587735551,-0.02982073410124146,0.0,453.9653919678703,451.7942934772428,452.28498860008847,451.2146946234625
1.0800000000000005,0.04469571226081953,-0.05850978912758891,11.378373352306403,6.242421350724218,6.27558219313072,0.0,0.10210657337596583,-0.18640575113408667,2.3663430394026417,-0.08035681215166357,-0.002297171987018157,0.0,445.46601216440524,447.71089015849185,446.6689267309159,447.094729572645
1.1400000000000006,0.050959370638708514,-0.07044486370475073,11.520702762339772,6.237783613432557,6.275152241612805,0.0,0.10670481354834012,-0.2118493882594409,2.3779252617625084,-0.0717884859652266,-0.01931752993777062,0.0,413.99516196184044,412.4949663565641,413.84448129374266,414.5927135970835
